ObjectId,Country,ISO2,Country,NaturalDisaster,Source,CTS Code,CTS Name,CTS Full Descriptor,nd1980,nd1981,nd1982,nd1983,nd1984,nd1985,nd1986,nd1987,nd1988,nd1989,nd1990,nd1991,nd1992,nd1993,nd1994,nd1995,nd1996,nd1997,nd1998,nd1999,nd2000,nd2001,nd2002,nd2003,nd2004,nd2005,nd2006,nd2007,nd2008,nd2009,nd2010,nd2011,nd2012,nd2013,nd2014,nd2015,nd2016,nd2017,nd2018,nd2019,nd2020,nd2021,nd2022,nd2023,nd2024
1871,United States,US,USA, Drought,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,,,,,,,,1,,,2,,,,,,,,1,2,,1,,,,,1,,,,1,2,,1,1,,1,1,,1,1,1,1,1
1872,United States,US,USA, Extreme temperature,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",1,,,1,,,1,1,,1,2,,,1,,2,,,1,1,1,1,1,,1,1,2,,1,1,,1,1,1,1,,,,,,,1,,2,1
1873,United States,US,USA, Flood,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",3,1,2,2,3,5,3,,3,,4,14,,6,1,5,4,8,7,1,8,5,4,4,4,6,11,6,4,4,3,4,1,7,2,5,6,3,3,4,2,12,3,4,3
1874,United States,US,USA, Landslide,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,,1,,,,,,
1875,United States,US,USA, Storm,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",3,3,11,6,11,10,2,8,18,16,15,17,27,20,9,10,9,23,20,16,12,17,15,14,12,8,12,13,14,10,12,14,19,15,13,19,16,17,11,14,19,23,18,16,19
1876,United States,US,USA, TOTAL,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",7,4,13,9,14,15,6,9,22,17,21,35,29,28,14,17,14,33,32,22,30,26,29,22,20,16,29,23,21,17,15,23,25,28,19,29,26,24,19,20,23,43,26,25,29
1877,United States,US,USA, Wildfire,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Adaptation, Climate Related Disasters Frequency",,,,,,,,,,,,2,2,1,3,,1,2,4,3,7,3,8,3,3,1,4,3,2,2,,3,2,5,1,4,4,3,3,2,1,6,4,2,5
1878,United States,US,USA, Drought,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,,,,,,,0,,,0,,,,,,,,0,0,,0,,,,,0,,,,0,0,,0,0,,0,0,,0,0,0,0,0
1879,United States,US,USA, Extreme temperature,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,0,,,0,,,0,0,,0,0,,,0,,0,,,0,0,0,0,0,,0,31,0,,0,0,,0,0,0,0,,,,,,,0,,25,0
1880,United States,US,USA, Flood,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,117000,0,0,0,5500,5550,2000,,0,,3350,0,,43900,14070,115300,243115,191374,37000,100,3646,23800,147750,3200,5340,18258,74060,8810,11032648,9960,1000,36100,300,34725,102040,28650,91000,370,1596,16600,13000,1876,1075,2126,6564
1881,United States,US,USA, Landslide,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,,,,,,,,,,,,,125,,,,,,,,,15,,,,,,,,,,,150,,,,1366,,,,,,
1882,United States,US,USA, Storm,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,570,0,51500,6000,14657,1020500,80,3200,0,25100,10668,3000,295055,600,21750,92160,4131,4892,153621,3058870,23154,181053,18899,243647,5079710,830305,5663,8317,2301147,908,10941,389193,90404,177474,1215,4576,85019468,854401,1505093,1486,28431,15236,3445,17385,3723
1883,United States,US,USA, TOTAL,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,117570,0,51500,6000,20157,1026050,2080,3200,0,25100,14018,3300,296045,44630,37377,207460,247296,197266,231842,3059989,62887,204992,173137,274756,5100537,850004,80308,668118,13389115,11323,11941,431398,93551,214574,103834,46590,85118920,867075,1761295,19351,41431,78969,6922,28033,13526
1884,United States,US,USA, Wildfire,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be.",,,,,,,,,,,,,,,300,990,130,1432,,50,1000,41221,1019,36087,139,6488,27894,15487,1410,585,650991,55320,455,,6105,2847,2375,429,13364,8452,12304,253240,1265,0,61857,2402,8497,3239
